Time,Tamb,Tparrot,wt56,wt2425
Fri Jun 14 12:58:59 2024,31.187,27.437,-0.10185749999996915,2.8894444444443796
Fri Jun 14 12:59:32 2024,31.187,27.437,-0.0018574999999691499,2.9494444444443797
Fri Jun 14 13:00:04 2024,31.187,27.437,-0.06935749999996915,2.9119444444443796
Fri Jun 14 13:00:37 2024,31.187,27.437,-0.13685749999996916,2.89694444444438
Fri Jun 14 13:01:09 2024,31.25,27.437,-0.100625,2.99944444444438
Fri Jun 14 13:01:41 2024,31.25,27.437,0.014375,2.9669444444443798
Fri Jun 14 13:02:14 2024,31.25,27.5,-0.030625,2.93944444444438
Fri Jun 14 13:02:46 2024,31.312,27.5,0.02908000000003085,3.11194444444438
Fri Jun 14 13:03:19 2024,31.25,27.5,-0.060625,3.0544444444443797
Fri Jun 14 13:03:51 2024,31.312,27.5,-0.07341999999996915,2.94194444444438
Fri Jun 14 13:04:24 2024,31.25,27.5,-0.153125,3.00694444444438
Fri Jun 14 13:04:56 2024,31.312,27.5,-0.05591999999996915,3.0169444444443796
Fri Jun 14 13:05:29 2024,31.312,27.562,-0.10091999999996915,3.10694444444438
Fri Jun 14 13:06:01 2024,31.312,27.562,-0.15841999999996914,3.04944444444438
Fri Jun 14 13:06:34 2024,31.312,27.625,-0.28841999999996915,3.0994444444443796
Fri Jun 14 13:07:06 2024,31.375,27.562,-0.1046875,3.0769444444443796
Fri Jun 14 13:07:39 2024,31.312,27.625,-0.22591999999996915,3.08194444444438
Fri Jun 14 13:08:11 2024,31.375,27.625,-0.0721875,3.21194444444438
Fri Jun 14 13:08:43 2024,31.375,27.625,-0.1496875,3.10694444444438
Fri Jun 14 13:09:16 2024,31.375,27.625,-0.2046875,3.1194444444443796
Fri Jun 14 13:09:48 2024,31.375,27.687,-0.1546875,3.1219444444443796
Fri Jun 14 13:10:21 2024,31.375,27.625,-0.1346875,3.2044444444443796
Fri Jun 14 13:10:53 2024,31.375,27.687,-0.2521875,3.2194444444443797
Fri Jun 14 13:11:26 2024,31.437,27.625,-0.06998249999996915,3.2269444444443796
Fri Jun 14 13:11:58 2024,31.437,27.687,-0.13998249999996915,3.2219444444443797
Fri Jun 14 13:12:31 2024,31.437,27.687,-0.16748249999996914,3.29694444444438
